file_name,description
car_0001.off,Van with a long body.
car_0002.off,"Big SUV with high clearance, brand - Volvo, is remarkable."
car_0003.off,Jeep with a mounted spare tire looks ruggedly adventurous.
car_0004.off,"Luxury vintage sedan car, sleek and thin, exudes elegance."
car_0005.off,Modern Ferrari sports car epitomizes speed and luxury combined.
car_0006.off,Medium pickup truck offers versatility and practicality for transportation.
car_0007.off,Mercedes sedan without tires raises eyebrows for its peculiar state.
car_0008.off,Long Dodge Challenger without wheels raises curiosity and questions.
car_0009.off,Long minivan without tires seems stranded and in need of assistance.
car_0010.off,Big and spacious Mitsubishi SUV with a tire attached stands out.
car_0011.off,Compact crossover car combines efficiency and style seamlessly.
car_0012.off,Chevrolet sedan boasts classic American automotive design and reliability.
car_0013.off,Vintage Aston Martin sedan exudes timeless sophistication and charm.
car_0014.off,Old and big vintage royal car emanates regal elegance and grandeur.
car_0015.off,Long and big Opel minivan offers ample space and functionality.
car_0016.off,Long sportscar with spoiler hints at high-performance capabilities.
car_0017.off,Small minivan provides practicality in a compact form factor.
car_0018.off,Boxy sportscar showcases a bold and distinctive design language.
car_0019.off,Sports car with a spoiler signifies a focus on aerodynamics.
car_0020.off,Two-seater short Mercedes sedan exudes luxury in a compact package.
car_0022.off,Long rooftop open luxury car offers an exhilarating driving experience.
car_0023.off,Boxy sports car with spoiler combines style with aerodynamic efficiency.
car_0024.off,Volkswagen big boxy car with big wheels promises comfort and reliability.
car_0025.off,Toy sports car captures the essence of childhood imagination.
car_0026.off,Rooftop open long and luxurious Mercedes car exudes opulence.
car_0027.off,Futuristic car with big wheels hints at advanced automotive technology.
car_0028.off,Short and compact car with spoiler offers sporty appeal.
car_0029.off,Vintage car with a long trunk evokes nostalgia and admiration.
car_0030.off,Long bulky sportscar commands attention with its imposing presence.
car_0032.off,Rounded Toyota sedan embodies reliability and practicality.
car_0033.off,Long BMW sedan combines luxury with German engineering prowess.
car_0034.off,Renault bulky sedan offers European elegance and comfort.
car_0035.off,Aerodynamic sports car with spoiler screams high-speed performance.
car_0036.off,BMW two-seater sports car delivers thrills in a compact package.
car_0037.off,Long minivan provides spaciousness without compromising on style.
car_0038.off,Audi sports car bulky in size yet agile on the road.
car_0039.off,Minicooper hatchback charms with its compact yet stylish design.
car_0040.off,Vintage long boxy sedan exudes timeless appeal and sophistication.
car_0041.off,Long powerful Dodge car with open engine showcases raw power.
car_0042.off,Ford boxy long car offers practicality with a touch of ruggedness.
car_0043.off,Lamborghini long and sleek sportscar epitomizes automotive luxury.
car_0044.off,Vintage long car harks back to a bygone era of elegance.
car_0045.off,Old McLaren sports car represents a legacy of automotive excellence.
car_0046.off,Long sedan without wheels raises questions about its condition.
car_0047.off,Dodge open sportscar promises an exhilarating driving experience.
car_0048.off,Ford compact high car with big wheels and spoiler offers performance.
car_0049.off,Compact sedan combines efficiency with comfort for everyday driving.
car_0050.off,Dodge sedan with a spoiler and big headlights looks sporty.
car_0051.off,Dune buggy epitomizes off-road adventure and fun.
car_0052.off,Pickup truck offers versatility for work and leisure activities.
car_0053.off,Police sedan car signifies authority and law enforcement presence.
car_0054.off,Aston Martin vintage long sedan exudes timeless British sophistication.
car_0056.off,Long Toyota sedan balances reliability with elegant design features.
car_0057.off,Vintage long and powerful Dodge Charger embodies American muscle.
car_0058.off,Modern sports car with a spoiler offers thrilling driving dynamics.
car_0059.off,Citroen sports SUV car blends style with practicality for adventure.
car_0060.off,Vintage boxy car exudes retro charm and nostalgic appeal.
car_0061.off,Open Audi sports car combines performance with open-air exhilaration.
car_0062.off,Sedan offers practicality and comfort for everyday transportation needs.
car_0063.off,Boxy minivan provides ample space for passengers and cargo alike.
car_0064.off,Big and boxy Toyota SUV promises reliability and off-road capability.
car_0065.off,Mercedes sporty hatchback combines style with driving enjoyment.
car_0066.off,Rugged sports SUV is ready to tackle any terrain with confidence.
car_0067.off,Vintage rooftop open sportscar offers a classic driving experience.
car_0068.off,Vintage royal open car embodies luxury and sophistication of yesteryears.
car_0069.off,Boxy toy car sparks imagination and creativity in children.
car_0070.off,Long sedan combines comfort with ample interior space for passengers.
car_0071.off,Honda sports car delivers exhilarating performance and driving pleasure.
car_0072.off,Boxy compact very small car with straight back is unique.
car_0073.off,Police open sportscar is ready to chase down any perpetrators.
car_0074.off,Long sedan exudes power with its potent engine and exhaust system.
car_0075.off,Long sports car combines power and elegance in a sleek design.
car_0076.off,Boxy sedan offers a spacious interior with practical features.
car_0077.off,Compact sedan is perfect for navigating urban environments with ease.
car_0078.off,Ferrari sports car with spoiler promises thrilling performance on the road.
car_0079.off,Compact sedan offers a perfect blend of comfort and fuel economy.
car_0080.off,Luxurious limousine car offers unparalleled comfort and sophistication.
car_0081.off,Sports car boasts a muscular and aggressive design language.
car_0082.off,Bulky rounded sports car with spoiler exudes a powerful presence.
car_0083.off,Stylish limousine combines elegance with modern amenities for luxury travel.
car_0084.off,Old-fashioned long car evokes nostalgia for a bygone era.
car_0085.off,Long open sports car offers an exhilarating driving experience.
car_0086.off,Bulky rounded family SUV with big wheels provides ample space.
car_0087.off,Compact sedan offers efficiency without compromising on comfort.
car_0088.off,Open long vintage classy car exudes timeless elegance and charm.
car_0089.off,Compact family car is practical and economical for daily use.
car_0090.off,Old European royal car embodies opulence and grandeur of royalty.
car_0091.off,BMW sedan combines luxury with sporty driving dynamics.
car_0092.off,Classic sports car with low ground clearance offers vintage charm.
car_0093.off,Vintage long classy car exudes sophistication and timeless style.
car_0094.off,Mercedes classy sedan combines luxury with German engineering excellence.
car_0095.off,Compact family car offers versatility and comfort for everyday use.
car_0096.off,Boxy high SUV provides commanding views of the road ahead.
car_0097.off,Classic sports car with spoiler adds a touch of performance.
car_0098.off,Stylish car with no wheels and low ground clearance is intriguing.
car_0099.off,Boxy sports car offers a unique blend of style and performance.
car_0100.off,Sports car with open doors and spoiler exudes athleticism.
car_0101.off,Compact taxi offers efficient transportation in urban environments.
car_0102.off,Long toy car sparks imagination and creativity in children.
car_0103.off,Minivan provides spaciousness and comfort for family adventures.
car_0104.off,Mercedes long minivan offers ample room for passengers and cargo.
car_0105.off,Family sedan combines practicality with comfort for everyday use.
car_0106.off,Long Audi sedan exudes luxury and refinement in every detail.
car_0107.off,Compact Mini Cooper delivers fun driving dynamics in a small package.
car_0108.off,Small Mercedes hatchback offers agility and style for urban driving.
car_0110.off,Long sedan provides ample legroom and comfort for passengers.
car_0111.off,BMW sedan combines luxury with sporty performance for discerning drivers.
car_0112.off,Very long sedan offers generous space and comfort for occupants.
car_0113.off,Aerodynamic sportscar exudes speed and agility on the open road.
car_0114.off,Very long powerful Dodge muscle car embodies American automotive heritage.
car_0115.off,Compact hatchback offers versatility and practicality for daily commutes.
car_0116.off,Volkswagen compact hatchback combines efficiency with German engineering.
car_0117.off,Classic vintage car evokes nostalgia for a bygone era of motoring.
car_0118.off,Honda family sedan with antenna offers reliable transportation with connectivity.
car_0119.off,Boxy sedan combines practicality with a spacious interior for passengers.
car_0120.off,Rolls Royce luxury car epitomizes opulence and prestige in motoring.
car_0121.off,Vintage Dodge sports car captures the essence of American muscle.
car_0122.off,Lamborghini long and sleek sportscar commands attention with its presence.
car_0124.off,Volkswagen pickup truck offers versatility for work and leisure activities.
car_0125.off,Rugged sports car is built to handle challenging off-road terrain.
car_0126.off,Compact toy car with spoiler is a playful addition to any collection.
car_0127.off,Chevrolet stylish sports car combines performance with iconic American design.
car_0128.off,Rooftop open small sports car offers exhilarating open-air driving experiences.
car_0129.off,Classic vintage sports car with spoiler adds a touch of performance.
car_0130.off,Dodge Charger with antenna embodies American muscle car culture.
car_0131.off,Ferrari stylish sports car exudes speed and luxury in equal measure.
car_0132.off,Toy car provides endless entertainment for children of all ages.
car_0133.off,Toy sports car with spoiler sparks imagination and creativity in kids.
car_0134.off,Rooftop open sedan combines elegance with open-air driving enjoyment.
car_0135.off,Vintage open Chevrolet offers a glimpse into automotive history.
car_0136.off,Vintage classy long sleek car exudes elegance and sophistication.
car_0137.off,Boxy sports car combines style with dynamic driving performance.
car_0138.off,McLaren long sleek sports car delivers breathtaking performance on the track.
car_0139.off,Compact family hatchback offers versatility and practicality for everyday use.
car_0140.off,McLaren long sleek sports car embodies precision engineering and design.
car_0141.off,Modern aerodynamic sports car delivers exhilarating performance and agility.
car_0142.off,Small two-seater sedan combines sporty design with everyday practicality.
car_0143.off,Rugged Jeep with tyre attached to the back is ready for adventure.
car_0144.off,Sports car with spoiler adds a touch of aerodynamic performance.
car_0145.off,Nissan sports car offers a thrilling driving experience with style.
car_0146.off,Sports car with spoiler combines style with dynamic driving capabilities.
car_0147.off,Ford sports car with spoiler exudes power and performance on the road.
car_0148.off,Old boxy car evokes nostalgia for a simpler automotive era.
car_0149.off,Volkswagen compact hatchback offers efficiency and reliability in urban environments.
car_0150.off,Medium hatchback provides versatility and practicality for daily driving needs.
car_0151.off,Futuristic toy car with spoiler sparks imagination and creativity in children.
car_0152.off,Family sedan offers comfort and convenience for daily commuting and travel.
car_0153.off,Long vintage boxy car exudes classic charm and elegance.
car_0154.off,Vintage hatchback combines retro styling with modern practicality.
car_0155.off,Vintage royal car with tyre attached to the back is a regal sight.
car_0156.off,Taxi provides convenient transportation services for urban dwellers.
car_0157.off,Sports car delivers thrilling performance and exhilarating driving experiences.
