object_id,class,split,object_path
airplane_0627,airplane,test,airplane/test/airplane_0627.off
airplane_0628,airplane,test,airplane/test/airplane_0628.off
airplane_0629,airplane,test,airplane/test/airplane_0629.off
airplane_0630,airplane,test,airplane/test/airplane_0630.off
airplane_0631,airplane,test,airplane/test/airplane_0631.off
airplane_0632,airplane,test,airplane/test/airplane_0632.off
airplane_0633,airplane,test,airplane/test/airplane_0633.off
airplane_0634,airplane,test,airplane/test/airplane_0634.off
airplane_0635,airplane,test,airplane/test/airplane_0635.off
airplane_0636,airplane,test,airplane/test/airplane_0636.off
airplane_0637,airplane,test,airplane/test/airplane_0637.off
airplane_0638,airplane,test,airplane/test/airplane_0638.off
airplane_0639,airplane,test,airplane/test/airplane_0639.off
airplane_0640,airplane,test,airplane/test/airplane_0640.off
airplane_0641,airplane,test,airplane/test/airplane_0641.off
airplane_0642,airplane,test,airplane/test/airplane_0642.off
airplane_0643,airplane,test,airplane/test/airplane_0643.off
airplane_0644,airplane,test,airplane/test/airplane_0644.off
airplane_0645,airplane,test,airplane/test/airplane_0645.off
airplane_0646,airplane,test,airplane/test/airplane_0646.off
airplane_0647,airplane,test,airplane/test/airplane_0647.off
airplane_0648,airplane,test,airplane/test/airplane_0648.off
airplane_0649,airplane,test,airplane/test/airplane_0649.off
airplane_0650,airplane,test,airplane/test/airplane_0650.off
airplane_0651,airplane,test,airplane/test/airplane_0651.off
airplane_0652,airplane,test,airplane/test/airplane_0652.off
airplane_0653,airplane,test,airplane/test/airplane_0653.off
airplane_0654,airplane,test,airplane/test/airplane_0654.off
airplane_0655,airplane,test,airplane/test/airplane_0655.off
airplane_0656,airplane,test,airplane/test/airplane_0656.off
airplane_0657,airplane,test,airplane/test/airplane_0657.off
airplane_0658,airplane,test,airplane/test/airplane_0658.off
airplane_0659,airplane,test,airplane/test/airplane_0659.off
airplane_0660,airplane,test,airplane/test/airplane_0660.off
airplane_0661,airplane,test,airplane/test/airplane_0661.off
airplane_0662,airplane,test,airplane/test/airplane_0662.off
airplane_0663,airplane,test,airplane/test/airplane_0663.off
airplane_0664,airplane,test,airplane/test/airplane_0664.off
airplane_0665,airplane,test,airplane/test/airplane_0665.off
airplane_0666,airplane,test,airplane/test/airplane_0666.off
airplane_0667,airplane,test,airplane/test/airplane_0667.off
airplane_0668,airplane,test,airplane/test/airplane_0668.off
airplane_0669,airplane,test,airplane/test/airplane_0669.off
airplane_0670,airplane,test,airplane/test/airplane_0670.off
airplane_0671,airplane,test,airplane/test/airplane_0671.off
airplane_0672,airplane,test,airplane/test/airplane_0672.off
airplane_0673,airplane,test,airplane/test/airplane_0673.off
airplane_0674,airplane,test,airplane/test/airplane_0674.off
airplane_0675,airplane,test,airplane/test/airplane_0675.off
airplane_0676,airplane,test,airplane/test/airplane_0676.off
airplane_0677,airplane,test,airplane/test/airplane_0677.off
airplane_0678,airplane,test,airplane/test/airplane_0678.off
airplane_0679,airplane,test,airplane/test/airplane_0679.off
airplane_0680,airplane,test,airplane/test/airplane_0680.off
airplane_0681,airplane,test,airplane/test/airplane_0681.off
airplane_0682,airplane,test,airplane/test/airplane_0682.off
airplane_0683,airplane,test,airplane/test/airplane_0683.off
airplane_0684,airplane,test,airplane/test/airplane_0684.off
airplane_0685,airplane,test,airplane/test/airplane_0685.off
airplane_0686,airplane,test,airplane/test/airplane_0686.off
airplane_0687,airplane,test,airplane/test/airplane_0687.off
airplane_0688,airplane,test,airplane/test/airplane_0688.off
airplane_0689,airplane,test,airplane/test/airplane_0689.off
airplane_0690,airplane,test,airplane/test/airplane_0690.off
airplane_0691,airplane,test,airplane/test/airplane_0691.off
airplane_0692,airplane,test,airplane/test/airplane_0692.off
airplane_0693,airplane,test,airplane/test/airplane_0693.off
airplane_0694,airplane,test,airplane/test/airplane_0694.off
airplane_0695,airplane,test,airplane/test/airplane_0695.off
airplane_0696,airplane,test,airplane/test/airplane_0696.off
airplane_0697,airplane,test,airplane/test/airplane_0697.off
airplane_0698,airplane,test,airplane/test/airplane_0698.off
airplane_0699,airplane,test,airplane/test/airplane_0699.off
airplane_0700,airplane,test,airplane/test/airplane_0700.off
airplane_0701,airplane,test,airplane/test/airplane_0701.off
airplane_0702,airplane,test,airplane/test/airplane_0702.off
airplane_0703,airplane,test,airplane/test/airplane_0703.off
airplane_0704,airplane,test,airplane/test/airplane_0704.off
airplane_0705,airplane,test,airplane/test/airplane_0705.off
airplane_0706,airplane,test,airplane/test/airplane_0706.off
airplane_0707,airplane,test,airplane/test/airplane_0707.off
airplane_0708,airplane,test,airplane/test/airplane_0708.off
airplane_0709,airplane,test,airplane/test/airplane_0709.off
airplane_0710,airplane,test,airplane/test/airplane_0710.off
airplane_0711,airplane,test,airplane/test/airplane_0711.off
airplane_0712,airplane,test,airplane/test/airplane_0712.off
airplane_0713,airplane,test,airplane/test/airplane_0713.off
airplane_0714,airplane,test,airplane/test/airplane_0714.off
airplane_0715,airplane,test,airplane/test/airplane_0715.off
airplane_0716,airplane,test,airplane/test/airplane_0716.off
airplane_0717,airplane,test,airplane/test/airplane_0717.off
airplane_0718,airplane,test,airplane/test/airplane_0718.off
airplane_0719,airplane,test,airplane/test/airplane_0719.off
airplane_0720,airplane,test,airplane/test/airplane_0720.off
airplane_0721,airplane,test,airplane/test/airplane_0721.off
airplane_0722,airplane,test,airplane/test/airplane_0722.off
airplane_0723,airplane,test,airplane/test/airplane_0723.off
airplane_0724,airplane,test,airplane/test/airplane_0724.off
airplane_0725,airplane,test,airplane/test/airplane_0725.off
airplane_0726,airplane,test,airplane/test/airplane_0726.off
airplane_0001,airplane,train,airplane/train/airplane_0001.off
airplane_0002,airplane,train,airplane/train/airplane_0002.off
airplane_0003,airplane,train,airplane/train/airplane_0003.off
airplane_0004,airplane,train,airplane/train/airplane_0004.off
airplane_0005,airplane,train,airplane/train/airplane_0005.off
airplane_0006,airplane,train,airplane/train/airplane_0006.off
airplane_0007,airplane,train,airplane/train/airplane_0007.off
airplane_0008,airplane,train,airplane/train/airplane_0008.off
airplane_0009,airplane,train,airplane/train/airplane_0009.off
airplane_0010,airplane,train,airplane/train/airplane_0010.off
airplane_0011,airplane,train,airplane/train/airplane_0011.off
airplane_0012,airplane,train,airplane/train/airplane_0012.off
airplane_0013,airplane,train,airplane/train/airplane_0013.off
airplane_0014,airplane,train,airplane/train/airplane_0014.off
airplane_0015,airplane,train,airplane/train/airplane_0015.off
airplane_0016,airplane,train,airplane/train/airplane_0016.off
airplane_0017,airplane,train,airplane/train/airplane_0017.off
airplane_0018,airplane,train,airplane/train/airplane_0018.off
airplane_0019,airplane,train,airplane/train/airplane_0019.off
airplane_0020,airplane,train,airplane/train/airplane_0020.off
airplane_0021,airplane,train,airplane/train/airplane_0021.off
airplane_0022,airplane,train,airplane/train/airplane_0022.off
airplane_0023,airplane,train,airplane/train/airplane_0023.off
airplane_0024,airplane,train,airplane/train/airplane_0024.off
airplane_0025,airplane,train,airplane/train/airplane_0025.off
airplane_0026,airplane,train,airplane/train/airplane_0026.off
airplane_0027,airplane,train,airplane/train/airplane_0027.off
airplane_0028,airplane,train,airplane/train/airplane_0028.off
airplane_0029,airplane,train,airplane/train/airplane_0029.off
airplane_0030,airplane,train,airplane/train/airplane_0030.off
airplane_0031,airplane,train,airplane/train/airplane_0031.off
airplane_0032,airplane,train,airplane/train/airplane_0032.off
airplane_0033,airplane,train,airplane/train/airplane_0033.off
airplane_0034,airplane,train,airplane/train/airplane_0034.off
airplane_0035,airplane,train,airplane/train/airplane_0035.off
airplane_0036,airplane,train,airplane/train/airplane_0036.off
airplane_0037,airplane,train,airplane/train/airplane_0037.off
airplane_0038,airplane,train,airplane/train/airplane_0038.off
airplane_0039,airplane,train,airplane/train/airplane_0039.off
airplane_0040,airplane,train,airplane/train/airplane_0040.off
airplane_0041,airplane,train,airplane/train/airplane_0041.off
airplane_0042,airplane,train,airplane/train/airplane_0042.off
airplane_0043,airplane,train,airplane/train/airplane_0043.off
airplane_0044,airplane,train,airplane/train/airplane_0044.off
airplane_0045,airplane,train,airplane/train/airplane_0045.off
airplane_0046,airplane,train,airplane/train/airplane_0046.off
airplane_0047,airplane,train,airplane/train/airplane_0047.off
airplane_0048,airplane,train,airplane/train/airplane_0048.off
airplane_0049,airplane,train,airplane/train/airplane_0049.off
airplane_0050,airplane,train,airplane/train/airplane_0050.off
airplane_0051,airplane,train,airplane/train/airplane_0051.off
airplane_0052,airplane,train,airplane/train/airplane_0052.off
airplane_0053,airplane,train,airplane/train/airplane_0053.off
airplane_0054,airplane,train,airplane/train/airplane_0054.off
airplane_0055,airplane,train,airplane/train/airplane_0055.off
airplane_0056,airplane,train,airplane/train/airplane_0056.off
airplane_0057,airplane,train,airplane/train/airplane_0057.off
airplane_0058,airplane,train,airplane/train/airplane_0058.off
airplane_0059,airplane,train,airplane/train/airplane_0059.off
airplane_0060,airplane,train,airplane/train/airplane_0060.off
airplane_0061,airplane,train,airplane/train/airplane_0061.off
airplane_0062,airplane,train,airplane/train/airplane_0062.off
airplane_0063,airplane,train,airplane/train/airplane_0063.off
airplane_0064,airplane,train,airplane/train/airplane_0064.off
airplane_0065,airplane,train,airplane/train/airplane_0065.off
airplane_0066,airplane,train,airplane/train/airplane_0066.off
airplane_0067,airplane,train,airplane/train/airplane_0067.off
airplane_0068,airplane,train,airplane/train/airplane_0068.off
airplane_0069,airplane,train,airplane/train/airplane_0069.off
airplane_0070,airplane,train,airplane/train/airplane_0070.off
airplane_0071,airplane,train,airplane/train/airplane_0071.off
airplane_0072,airplane,train,airplane/train/airplane_0072.off
airplane_0073,airplane,train,airplane/train/airplane_0073.off
airplane_0074,airplane,train,airplane/train/airplane_0074.off
airplane_0075,airplane,train,airplane/train/airplane_0075.off
airplane_0076,airplane,train,airplane/train/airplane_0076.off
airplane_0077,airplane,train,airplane/train/airplane_0077.off
airplane_0078,airplane,train,airplane/train/airplane_0078.off
airplane_0079,airplane,train,airplane/train/airplane_0079.off
airplane_0080,airplane,train,airplane/train/airplane_0080.off
airplane_0081,airplane,train,airplane/train/airplane_0081.off
airplane_0082,airplane,train,airplane/train/airplane_0082.off
airplane_0083,airplane,train,airplane/train/airplane_0083.off
airplane_0084,airplane,train,airplane/train/airplane_0084.off
airplane_0085,airplane,train,airplane/train/airplane_0085.off
airplane_0086,airplane,train,airplane/train/airplane_0086.off
airplane_0087,airplane,train,airplane/train/airplane_0087.off
airplane_0088,airplane,train,airplane/train/airplane_0088.off
airplane_0089,airplane,train,airplane/train/airplane_0089.off
airplane_0090,airplane,train,airplane/train/airplane_0090.off
airplane_0091,airplane,train,airplane/train/airplane_0091.off
airplane_0092,airplane,train,airplane/train/airplane_0092.off
airplane_0093,airplane,train,airplane/train/airplane_0093.off
airplane_0094,airplane,train,airplane/train/airplane_0094.off
airplane_0095,airplane,train,airplane/train/airplane_0095.off
airplane_0096,airplane,train,airplane/train/airplane_0096.off
airplane_0097,airplane,train,airplane/train/airplane_0097.off
airplane_0098,airplane,train,airplane/train/airplane_0098.off
airplane_0099,airplane,train,airplane/train/airplane_0099.off
airplane_0100,airplane,train,airplane/train/airplane_0100.off
airplane_0101,airplane,train,airplane/train/airplane_0101.off
airplane_0102,airplane,train,airplane/train/airplane_0102.off
airplane_0103,airplane,train,airplane/train/airplane_0103.off
airplane_0104,airplane,train,airplane/train/airplane_0104.off
airplane_0105,airplane,train,airplane/train/airplane_0105.off
airplane_0106,airplane,train,airplane/train/airplane_0106.off
airplane_0107,airplane,train,airplane/train/airplane_0107.off
airplane_0108,airplane,train,airplane/train/airplane_0108.off
airplane_0109,airplane,train,airplane/train/airplane_0109.off
airplane_0110,airplane,train,airplane/train/airplane_0110.off
airplane_0111,airplane,train,airplane/train/airplane_0111.off
airplane_0112,airplane,train,airplane/train/airplane_0112.off
airplane_0113,airplane,train,airplane/train/airplane_0113.off
airplane_0114,airplane,train,airplane/train/airplane_0114.off
airplane_0115,airplane,train,airplane/train/airplane_0115.off
airplane_0116,airplane,train,airplane/train/airplane_0116.off
airplane_0117,airplane,train,airplane/train/airplane_0117.off
airplane_0118,airplane,train,airplane/train/airplane_0118.off
airplane_0119,airplane,train,airplane/train/airplane_0119.off
airplane_0120,airplane,train,airplane/train/airplane_0120.off
airplane_0121,airplane,train,airplane/train/airplane_0121.off
airplane_0122,airplane,train,airplane/train/airplane_0122.off
airplane_0123,airplane,train,airplane/train/airplane_0123.off
airplane_0124,airplane,train,airplane/train/airplane_0124.off
airplane_0125,airplane,train,airplane/train/airplane_0125.off
airplane_0126,airplane,train,airplane/train/airplane_0126.off
airplane_0127,airplane,train,airplane/train/airplane_0127.off
airplane_0128,airplane,train,airplane/train/airplane_0128.off
airplane_0129,airplane,train,airplane/train/airplane_0129.off
airplane_0130,airplane,train,airplane/train/airplane_0130.off
airplane_0131,airplane,train,airplane/train/airplane_0131.off
airplane_0132,airplane,train,airplane/train/airplane_0132.off
airplane_0133,airplane,train,airplane/train/airplane_0133.off
airplane_0134,airplane,train,airplane/train/airplane_0134.off
airplane_0135,airplane,train,airplane/train/airplane_0135.off
airplane_0136,airplane,train,airplane/train/airplane_0136.off
airplane_0137,airplane,train,airplane/train/airplane_0137.off
airplane_0138,airplane,train,airplane/train/airplane_0138.off
airplane_0139,airplane,train,airplane/train/airplane_0139.off
airplane_0140,airplane,train,airplane/train/airplane_0140.off
airplane_0141,airplane,train,airplane/train/airplane_0141.off
airplane_0142,airplane,train,airplane/train/airplane_0142.off
airplane_0143,airplane,train,airplane/train/airplane_0143.off
airplane_0144,airplane,train,airplane/train/airplane_0144.off
airplane_0145,airplane,train,airplane/train/airplane_0145.off
airplane_0146,airplane,train,airplane/train/airplane_0146.off
airplane_0147,airplane,train,airplane/train/airplane_0147.off
airplane_0148,airplane,train,airplane/train/airplane_0148.off
airplane_0149,airplane,train,airplane/train/airplane_0149.off
airplane_0150,airplane,train,airplane/train/airplane_0150.off
airplane_0151,airplane,train,airplane/train/airplane_0151.off
airplane_0152,airplane,train,airplane/train/airplane_0152.off
airplane_0153,airplane,train,airplane/train/airplane_0153.off
airplane_0154,airplane,train,airplane/train/airplane_0154.off
airplane_0155,airplane,train,airplane/train/airplane_0155.off
airplane_0156,airplane,train,airplane/train/airplane_0156.off
airplane_0157,airplane,train,airplane/train/airplane_0157.off
airplane_0158,airplane,train,airplane/train/airplane_0158.off
airplane_0159,airplane,train,airplane/train/airplane_0159.off
airplane_0160,airplane,train,airplane/train/airplane_0160.off
airplane_0161,airplane,train,airplane/train/airplane_0161.off
airplane_0162,airplane,train,airplane/train/airplane_0162.off
airplane_0163,airplane,train,airplane/train/airplane_0163.off
airplane_0164,airplane,train,airplane/train/airplane_0164.off
airplane_0165,airplane,train,airplane/train/airplane_0165.off
airplane_0166,airplane,train,airplane/train/airplane_0166.off
airplane_0167,airplane,train,airplane/train/airplane_0167.off
airplane_0168,airplane,train,airplane/train/airplane_0168.off
airplane_0169,airplane,train,airplane/train/airplane_0169.off
airplane_0170,airplane,train,airplane/train/airplane_0170.off
airplane_0171,airplane,train,airplane/train/airplane_0171.off
airplane_0172,airplane,train,airplane/train/airplane_0172.off
airplane_0173,airplane,train,airplane/train/airplane_0173.off
airplane_0174,airplane,train,airplane/train/airplane_0174.off
airplane_0175,airplane,train,airplane/train/airplane_0175.off
airplane_0176,airplane,train,airplane/train/airplane_0176.off
airplane_0177,airplane,train,airplane/train/airplane_0177.off
airplane_0178,airplane,train,airplane/train/airplane_0178.off
airplane_0179,airplane,train,airplane/train/airplane_0179.off
airplane_0180,airplane,train,airplane/train/airplane_0180.off
airplane_0181,airplane,train,airplane/train/airplane_0181.off
airplane_0182,airplane,train,airplane/train/airplane_0182.off
airplane_0183,airplane,train,airplane/train/airplane_0183.off
airplane_0184,airplane,train,airplane/train/airplane_0184.off
airplane_0185,airplane,train,airplane/train/airplane_0185.off
airplane_0186,airplane,train,airplane/train/airplane_0186.off
airplane_0187,airplane,train,airplane/train/airplane_0187.off
airplane_0188,airplane,train,airplane/train/airplane_0188.off
airplane_0189,airplane,train,airplane/train/airplane_0189.off
airplane_0190,airplane,train,airplane/train/airplane_0190.off
airplane_0191,airplane,train,airplane/train/airplane_0191.off
